2019-12-20 14:57:39,"b'Get All Detergent for $1.24 at #stopandshopdeals 12/20-12/26!\n.\n #Couponcommunity, #couponmom, #extremecoupons,\xe2\x80\xa6 https://t.co/ZBhxvheHI2'"
2019-12-20 13:41:20,"b'RT @Profesor_TechYT: Best Game Deals on EPIC Winter Sale. RDR2, Breakpoint and many more [HINDI]\nhttps://t.co/XWve9OFfSQ\n\xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 #india #\xe2\x80\xa6'"
2019-12-20 13:40:24,"b'Best Game Deals on EPIC Winter Sale. RDR2, Breakpoint and many more [HINDI]\nhttps://t.co/XWve9OFfSQ\n\xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2 \xe2\x80\xa2\xe2\x80\xa6 https://t.co/FGkJN0fm3H'"
2019-12-20 01:14:36,b'Guess WHO still COOKING\n\xf0\x9f\x8d\x97\xf0\x9f\x8d\x97\xf0\x9f\x8d\x97\n\nJoin discord!\nLink in bio\n\n#college #Discord #Discord #couponcommunity #coupon\xe2\x80\xa6 https://t.co/3GnHYSY9SX'
2019-12-20 01:01:21,"b'$5 off 2 Poise Products Pads, Liners Coupon https://t.co/VXxlXV59DK #couponcommunity #printablecoupons #sandiego'"
2019-12-20 00:31:56,b'#Vons/#Albertsons: Lysol Disinfecting Wipes 35 ct Only $0.67 Each!!! https://t.co/zzb6rKJOV1 #couponcommunity'
2019-12-19 23:21:21,"b'Fragrance Reed Diffuser, White Camellia\n70% off W/Coupon code: FARS5Q5H\n\nhttps://t.co/iTwt2JPxBN\n\n#couponcode\xe2\x80\xa6 https://t.co/2jlVBR5kXn'"
2019-12-19 23:03:47,b'Surprise to say the least.......Last Friday\xe2\x80\x99s Reebok #Glitch my new $12 Reebok\xe2\x80\x99s \xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc\n#DD #CouponCommunity https://t.co/QJMlL57Qzz'
2019-12-19 21:01:28,b'Best #CVS Deals 12/22 \xe2\x80\x93 12/28 https://t.co/WbkMZvDN4U #couponcommunity #sandiego'
2019-12-19 20:07:38,b'Merry Christmas Raglan Top Can be used on other variations\n70% off W/Coupon code: HB9FLGM6\n\nhttps://t.co/H4iv3nO0Cy\xe2\x80\xa6 https://t.co/soIOsvg0BP'
